label,image_path,image_name,arrays,0_2,4_6,8_12,15_20,25_32,38_43,48_53,60_100,gt
0_2,../OUTPUT/faces_detected/0_2/image_346.jpg,image_346.jpg,"[[ 10  13  14 ... 109  85  73]
 [ 10  11  11 ... 117  92  73]
 [ 12  14  11 ... 135  99  76]
 ...
 [137 136 129 ... 178 173 175]
 [ 92 117 126 ... 162 162 159]
 [ 29  25  48 ... 144 144 145]]",1,0,0,0,0,0,0,0,"[1, 0, 0, 0, 0, 0, 0, 0]"
0_2,../OUTPUT/faces_detected/0_2/image_231.jpg,image_231.jpg,"[[ 72  80 101 ... 117  88  70]
 [ 80  77  92 ... 112  79  84]
 [ 84  80  97 ... 103  77  76]
 ...
 [ 43  35  36 ...  49  78 116]
 [ 27  37  40 ...  47  66 110]
 [ 39  37  39 ...  39  55  81]]",1,0,0,0,0,0,0,0,"[1, 0, 0, 0, 0, 0, 0, 0]"
0_2,../OUTPUT/faces_detected/0_2/image_696.jpg,image_696.jpg,"[[ 35  67 100 ... 166 189 215]
 [ 49  65  77 ... 182 195 214]
 [ 82  92  80 ... 176 183 210]
 ...
 [216 201 195 ...  47  54  54]
 [216 208 193 ...  79  82  87]
 [228 213 199 ...  86 108 110]]",1,0,0,0,0,0,0,0,"[1, 0, 0, 0, 0, 0, 0, 0]"
0_2,../OUTPUT/faces_detected/0_2/image_1937.jpg,image_1937.jpg,"[[ 38  24  28 ... 164 161 168]
 [ 65  21  24 ... 158 157 144]
 [ 64  22  23 ... 137 134 128]
 ...
 [ 50  48  47 ... 157 165 168]
 [ 48  48  47 ... 165 171 175]
 [ 50  48  47 ... 176 178 182]]",1,0,0,0,0,0,0,0,"[1, 0, 0, 0, 0, 0, 0, 0]"
0_2,../OUTPUT/faces_detected/0_2/image_1839.jpg,image_1839.jpg,"[[110 108 105 ... 110  91  82]
 [109 104 104 ... 108  92  79]
 [106 104 107 ... 101  90  81]
 ...
 [116 118 116 ...  48  41  30]
 [116 118 116 ...  61  62  62]
 [114 117 116 ...  63  51  57]]",1,0,0,0,0,0,0,0,"[1, 0, 0, 0, 0, 0, 0, 0]"
0_2,../OUTPUT/faces_detected/0_2/image_24.jpg,image_24.jpg,"[[  6   6   7 ... 170 179 177]
 [  5   7   7 ... 178 181 178]
 [  7   6   5 ... 181 180 179]
 ...
 [ 80  86 117 ... 127 129 133]
 [ 73  86 100 ... 127 127 131]
 [ 81  79  86 ... 125 128 129]]",1,0,0,0,0,0,0,0,"[1, 0, 0, 0, 0, 0, 0, 0]"
0_2,../OUTPUT/faces_detected/0_2/image_1853.jpg,image_1853.jpg,"[[138 144 150 ... 106 106 103]
 [135 151 152 ... 105 103 103]
 [128 151 152 ... 103 105 101]
 ...
 [166 193 182 ... 151 121 143]
 [168 191 175 ... 151 129 142]
 [169 186 166 ... 148 138 143]]",1,0,0,0,0,0,0,0,"[1, 0, 0, 0, 0, 0, 0, 0]"
0_2,../OUTPUT/faces_detected/0_2/image_1108.jpg,image_1108.jpg,"[[53 51 50 ... 21 19 18]
 [54 51 51 ... 22 20 18]
 [51 51 47 ... 23 23 20]
 ...
 [43 40 42 ... 72 65 67]
 [39 40 42 ... 76 69 55]
 [38 43 41 ... 61 54 40]]",1,0,0,0,0,0,0,0,"[1, 0, 0, 0, 0, 0, 0, 0]"
0_2,../OUTPUT/faces_detected/0_2/image_684.jpg,image_684.jpg,"[[ 85  37  43 ... 140 139 105]
 [ 86  56  46 ... 144 142 115]
 [ 82  66  62 ... 151 138 118]
 ...
 [ 11  14 140 ... 207 242 240]
 [ 13  14 121 ... 218 237 200]
 [ 14  14 102 ... 217 225 219]]",1,0,0,0,0,0,0,0,"[1, 0, 0, 0, 0, 0, 0, 0]"
0_2,../OUTPUT/faces_detected/0_2/image_1990.jpg,image_1990.jpg,"[[222 222 220 ...  35  39  37]
 [219 220 221 ...  28  35  32]
 [218 222 222 ...  31  37  28]
 ...
 [167 167 157 ...  38  63  66]
 [168 172 166 ...  66  67  69]
 [164 163 163 ...  67  78 101]]",1,0,0,0,0,0,0,0,"[1, 0, 0, 0, 0, 0, 0, 0]"
